"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Anodos2","HDR2X8","97.5532mm","289.43mm","88.6632mm","288.16mm","88.6632mm","288.16mm","T","360.00","Header 8X2"
"D256","3.2X1.6X1.1","291.42mm","116.254mm","291.42mm","116.254mm","289.67mm","116.254mm","T","360.00","LED2"
"D255","3.2X1.6X1.1","277.92mm","116.254mm","277.92mm","116.254mm","276.17mm","116.254mm","T","360.00","LED2"
"D254","3.2X1.6X1.1","264.4199mm","116.254mm","264.4199mm","116.254mm","262.6699mm","116.254mm","T","360.00","LED2"
"D253","3.2X1.6X1.1","250.92mm","116.254mm","250.92mm","116.254mm","249.17mm","116.254mm","T","360.00","LED2"
"D252","3.2X1.6X1.1","237.42mm","116.254mm","237.42mm","116.254mm","235.67mm","116.254mm","T","360.00","LED2"
"D251","3.2X1.6X1.1","223.92mm","116.254mm","223.92mm","116.254mm","222.17mm","116.254mm","T","360.00","LED2"
"D250","3.2X1.6X1.1","210.42mm","116.254mm","210.42mm","116.254mm","208.67mm","116.254mm","T","360.00","LED2"
"D249","3.2X1.6X1.1","196.92mm","116.254mm","196.92mm","116.254mm","195.17mm","116.254mm","T","360.00","LED2"
"D248","3.2X1.6X1.1","183.42mm","116.254mm","183.42mm","116.254mm","181.67mm","116.254mm","T","360.00","LED2"
"D247","3.2X1.6X1.1","169.92mm","116.254mm","169.92mm","116.254mm","168.17mm","116.254mm","T","360.00","LED2"
"D246","3.2X1.6X1.1","156.42mm","116.254mm","156.42mm","116.254mm","154.67mm","116.254mm","T","360.00","LED2"
"D245","3.2X1.6X1.1","142.92mm","116.254mm","142.92mm","116.254mm","141.17mm","116.254mm","T","360.00","LED2"
"D244","3.2X1.6X1.1","129.42mm","116.254mm","129.42mm","116.254mm","127.67mm","116.254mm","T","360.00","LED2"
"D243","3.2X1.6X1.1","115.92mm","116.254mm","115.92mm","116.254mm","114.17mm","116.254mm","T","360.00","LED2"
"D242","3.2X1.6X1.1","102.42mm","116.254mm","102.42mm","116.254mm","100.67mm","116.254mm","T","360.00","LED2"
"D241","3.2X1.6X1.1","88.92mm","116.254mm","88.92mm","116.254mm","87.17mm","116.254mm","T","360.00","LED2"
"D240","3.2X1.6X1.1","291.42mm","126.254mm","291.42mm","126.254mm","289.67mm","126.254mm","T","360.00","LED2"
"D239","3.2X1.6X1.1","277.9199mm","126.254mm","277.9199mm","126.254mm","276.1699mm","126.254mm","T","360.00","LED2"
"D238","3.2X1.6X1.1","264.4199mm","126.254mm","264.4199mm","126.254mm","262.6699mm","126.254mm","T","360.00","LED2"
"D237","3.2X1.6X1.1","250.92mm","126.254mm","250.92mm","126.254mm","249.17mm","126.254mm","T","360.00","LED2"
"D236","3.2X1.6X1.1","237.42mm","126.254mm","237.42mm","126.254mm","235.6699mm","126.254mm","T","360.00","LED2"
"D235","3.2X1.6X1.1","223.92mm","126.254mm","223.92mm","126.254mm","222.17mm","126.254mm","T","360.00","LED2"
"D234","3.2X1.6X1.1","210.42mm","126.254mm","210.42mm","126.254mm","208.67mm","126.254mm","T","360.00","LED2"
"D233","3.2X1.6X1.1","196.92mm","126.254mm","196.92mm","126.254mm","195.17mm","126.254mm","T","360.00","LED2"
"D232","3.2X1.6X1.1","183.42mm","126.254mm","183.42mm","126.254mm","181.6699mm","126.254mm","T","360.00","LED2"
"D231","3.2X1.6X1.1","169.92mm","126.254mm","169.92mm","126.254mm","168.17mm","126.254mm","T","360.00","LED2"
"D230","3.2X1.6X1.1","156.42mm","126.254mm","156.42mm","126.254mm","154.67mm","126.254mm","T","360.00","LED2"
"D229","3.2X1.6X1.1","142.92mm","126.254mm","142.92mm","126.254mm","141.17mm","126.254mm","T","360.00","LED2"
"D228","3.2X1.6X1.1","129.42mm","126.254mm","129.42mm","126.254mm","127.67mm","126.254mm","T","360.00","LED2"
"D227","3.2X1.6X1.1","115.92mm","126.254mm","115.92mm","126.254mm","114.17mm","126.254mm","T","360.00","LED2"
"D226","3.2X1.6X1.1","102.42mm","126.254mm","102.42mm","126.254mm","100.67mm","126.254mm","T","360.00","LED2"
"D225","3.2X1.6X1.1","88.92mm","126.254mm","88.92mm","126.254mm","87.17mm","126.254mm","T","360.00","LED2"
"D224","3.2X1.6X1.1","291.42mm","136.254mm","291.42mm","136.254mm","289.67mm","136.254mm","T","360.00","LED2"
"D223","3.2X1.6X1.1","277.92mm","136.254mm","277.92mm","136.254mm","276.17mm","136.254mm","T","360.00","LED2"
"D222","3.2X1.6X1.1","264.42mm","136.254mm","264.42mm","136.254mm","262.67mm","136.254mm","T","360.00","LED2"
"D221","3.2X1.6X1.1","250.92mm","136.254mm","250.92mm","136.254mm","249.17mm","136.254mm","T","360.00","LED2"
"D220","3.2X1.6X1.1","237.42mm","136.254mm","237.42mm","136.254mm","235.67mm","136.254mm","T","360.00","LED2"
"D219","3.2X1.6X1.1","223.92mm","136.254mm","223.92mm","136.254mm","222.17mm","136.254mm","T","360.00","LED2"
"D218","3.2X1.6X1.1","210.42mm","136.254mm","210.42mm","136.254mm","208.67mm","136.254mm","T","360.00","LED2"
"D217","3.2X1.6X1.1","196.92mm","136.254mm","196.92mm","136.254mm","195.17mm","136.254mm","T","360.00","LED2"
"D216","3.2X1.6X1.1","183.42mm","136.254mm","183.42mm","136.254mm","181.6699mm","136.254mm","T","360.00","LED2"
"D215","3.2X1.6X1.1","169.92mm","136.254mm","169.92mm","136.254mm","168.17mm","136.254mm","T","360.00","LED2"
"D214","3.2X1.6X1.1","156.42mm","136.254mm","156.42mm","136.254mm","154.67mm","136.254mm","T","360.00","LED2"
"D213","3.2X1.6X1.1","142.92mm","136.254mm","142.92mm","136.254mm","141.17mm","136.254mm","T","360.00","LED2"
"D212","3.2X1.6X1.1","129.42mm","136.254mm","129.42mm","136.254mm","127.67mm","136.254mm","T","360.00","LED2"
"D211","3.2X1.6X1.1","115.92mm","136.254mm","115.92mm","136.254mm","114.17mm","136.254mm","T","360.00","LED2"
"D210","3.2X1.6X1.1","102.42mm","136.254mm","102.42mm","136.254mm","100.67mm","136.254mm","T","360.00","LED2"
"D209","3.2X1.6X1.1","88.92mm","136.254mm","88.92mm","136.254mm","87.17mm","136.254mm","T","360.00","LED2"
"D208","3.2X1.6X1.1","291.42mm","146.254mm","291.42mm","146.254mm","289.67mm","146.254mm","T","360.00","LED2"
"D207","3.2X1.6X1.1","277.92mm","146.254mm","277.92mm","146.254mm","276.17mm","146.254mm","T","360.00","LED2"
"D206","3.2X1.6X1.1","264.4199mm","146.254mm","264.4199mm","146.254mm","262.6699mm","146.254mm","T","360.00","LED2"
"D205","3.2X1.6X1.1","250.92mm","146.254mm","250.92mm","146.254mm","249.1699mm","146.254mm","T","360.00","LED2"
"D204","3.2X1.6X1.1","237.42mm","146.254mm","237.42mm","146.254mm","235.6699mm","146.254mm","T","360.00","LED2"
"D203","3.2X1.6X1.1","223.92mm","146.254mm","223.92mm","146.254mm","222.1699mm","146.254mm","T","360.00","LED2"
"D202","3.2X1.6X1.1","210.42mm","146.254mm","210.42mm","146.254mm","208.6699mm","146.254mm","T","360.00","LED2"
"D201","3.2X1.6X1.1","196.92mm","146.254mm","196.92mm","146.254mm","195.1699mm","146.254mm","T","360.00","LED2"
"D200","3.2X1.6X1.1","183.42mm","146.254mm","183.42mm","146.254mm","181.6699mm","146.254mm","T","360.00","LED2"
"D199","3.2X1.6X1.1","169.92mm","146.254mm","169.92mm","146.254mm","168.17mm","146.254mm","T","360.00","LED2"
"D198","3.2X1.6X1.1","156.42mm","146.254mm","156.42mm","146.254mm","154.67mm","146.254mm","T","360.00","LED2"
"D197","3.2X1.6X1.1","142.92mm","146.254mm","142.92mm","146.254mm","141.17mm","146.254mm","T","360.00","LED2"
"D196","3.2X1.6X1.1","129.42mm","146.254mm","129.42mm","146.254mm","127.67mm","146.254mm","T","360.00","LED2"
"D195","3.2X1.6X1.1","115.92mm","146.254mm","115.92mm","146.254mm","114.17mm","146.254mm","T","360.00","LED2"
"D194","3.2X1.6X1.1","102.42mm","146.254mm","102.42mm","146.254mm","100.67mm","146.254mm","T","360.00","LED2"
"D193","3.2X1.6X1.1","88.92mm","146.254mm","88.92mm","146.254mm","87.17mm","146.254mm","T","360.00","LED2"
"D192","3.2X1.6X1.1","291.42mm","156.254mm","291.42mm","156.254mm","289.67mm","156.254mm","T","360.00","LED2"
"D191","3.2X1.6X1.1","277.92mm","156.254mm","277.92mm","156.254mm","276.17mm","156.254mm","T","360.00","LED2"
"D190","3.2X1.6X1.1","264.42mm","156.254mm","264.42mm","156.254mm","262.67mm","156.254mm","T","360.00","LED2"
"D189","3.2X1.6X1.1","250.92mm","156.254mm","250.92mm","156.254mm","249.17mm","156.254mm","T","360.00","LED2"
"D188","3.2X1.6X1.1","237.42mm","156.254mm","237.42mm","156.254mm","235.6699mm","156.254mm","T","360.00","LED2"
"D187","3.2X1.6X1.1","223.92mm","156.254mm","223.92mm","156.254mm","222.1699mm","156.254mm","T","360.00","LED2"
"D186","3.2X1.6X1.1","210.42mm","156.254mm","210.42mm","156.254mm","208.67mm","156.254mm","T","360.00","LED2"
"D185","3.2X1.6X1.1","196.92mm","156.254mm","196.92mm","156.254mm","195.17mm","156.254mm","T","360.00","LED2"
"D184","3.2X1.6X1.1","183.42mm","156.254mm","183.42mm","156.254mm","181.6699mm","156.254mm","T","360.00","LED2"
"D183","3.2X1.6X1.1","169.92mm","156.254mm","169.92mm","156.254mm","168.17mm","156.254mm","T","360.00","LED2"
"D182","3.2X1.6X1.1","156.42mm","156.254mm","156.42mm","156.254mm","154.67mm","156.254mm","T","360.00","LED2"
"D181","3.2X1.6X1.1","142.92mm","156.254mm","142.92mm","156.254mm","141.17mm","156.254mm","T","360.00","LED2"
"D180","3.2X1.6X1.1","129.42mm","156.254mm","129.42mm","156.254mm","127.67mm","156.254mm","T","360.00","LED2"
"D179","3.2X1.6X1.1","115.92mm","156.254mm","115.92mm","156.254mm","114.17mm","156.254mm","T","360.00","LED2"
"D178","3.2X1.6X1.1","102.42mm","156.254mm","102.42mm","156.254mm","100.67mm","156.254mm","T","360.00","LED2"
"D177","3.2X1.6X1.1","88.92mm","156.254mm","88.92mm","156.254mm","87.17mm","156.254mm","T","360.00","LED2"
"D176","3.2X1.6X1.1","291.42mm","166.254mm","291.42mm","166.254mm","289.67mm","166.254mm","T","360.00","LED2"
"D175","3.2X1.6X1.1","277.92mm","166.254mm","277.92mm","166.254mm","276.17mm","166.254mm","T","360.00","LED2"
"D174","3.2X1.6X1.1","264.42mm","166.254mm","264.42mm","166.254mm","262.67mm","166.254mm","T","360.00","LED2"
"D173","3.2X1.6X1.1","250.92mm","166.254mm","250.92mm","166.254mm","249.17mm","166.254mm","T","360.00","LED2"
"D172","3.2X1.6X1.1","237.42mm","166.254mm","237.42mm","166.254mm","235.67mm","166.254mm","T","360.00","LED2"
"D171","3.2X1.6X1.1","223.92mm","166.254mm","223.92mm","166.254mm","222.17mm","166.254mm","T","360.00","LED2"
"D170","3.2X1.6X1.1","210.42mm","166.254mm","210.42mm","166.254mm","208.6699mm","166.254mm","T","360.00","LED2"
"D169","3.2X1.6X1.1","196.92mm","166.254mm","196.92mm","166.254mm","195.17mm","166.254mm","T","360.00","LED2"
"D168","3.2X1.6X1.1","183.42mm","166.254mm","183.42mm","166.254mm","181.67mm","166.254mm","T","360.00","LED2"
"D167","3.2X1.6X1.1","169.92mm","166.254mm","169.92mm","166.254mm","168.17mm","166.254mm","T","360.00","LED2"
"D166","3.2X1.6X1.1","156.42mm","166.254mm","156.42mm","166.254mm","154.67mm","166.254mm","T","360.00","LED2"
"D165","3.2X1.6X1.1","142.92mm","166.254mm","142.92mm","166.254mm","141.17mm","166.254mm","T","360.00","LED2"
"D164","3.2X1.6X1.1","129.42mm","166.254mm","129.42mm","166.254mm","127.67mm","166.254mm","T","360.00","LED2"
"D163","3.2X1.6X1.1","115.92mm","166.254mm","115.92mm","166.254mm","114.17mm","166.254mm","T","360.00","LED2"
"D162","3.2X1.6X1.1","102.42mm","166.254mm","102.42mm","166.254mm","100.67mm","166.254mm","T","360.00","LED2"
"D161","3.2X1.6X1.1","88.92mm","166.254mm","88.92mm","166.254mm","87.17mm","166.254mm","T","360.00","LED2"
"D160","3.2X1.6X1.1","291.42mm","176.254mm","291.42mm","176.254mm","289.67mm","176.254mm","T","360.00","LED2"
